age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality
20,7,9,9,5,5,dependable
17,5,4,5,2,4,serious
25,5,5,7,2,4,serious
18,6,2,7,4,7,serious
19,2,4,7,1,3,responsible
19,6,4,7,5,5,serious
24,1,2,7,4,6,extraverted
27,4,5,7,4,4,serious
20,6,4,5,6,6,serious
21,5,4,4,6,4,serious
20,6,1,7,6,5,serious
19,4,4,4,4,3,responsible
20,4,5,5,5,2,responsible
20,4,4,4,4,5,serious
19,7,2,4,3,4,lively
17,6,6,5,7,6,extraverted
17,5,4,6,6,5,serious
18,5,3,5,6,7,serious
23,4,2,1,5,6,serious
23,5,4,4,5,4,extraverted
24,5,3,7,3,5,serious
25,5,7,3,7,6,dependable
20,4,5,6,5,5,serious
19,6,6,5,1,3,extraverted
19,6,1,5,5,6,extraverted
17,6,6,7,6,4,serious
17,4,6,3,5,4,extraverted
22,6,8,2,6,4,dependable
23,3,6,6,7,3,serious
21,4,2,3,5,4,responsible
19,4,4,6,4,3,serious
24,6,2,5,2,2,lively
25,5,5,1,7,6,extraverted
26,6,2,6,3,3,lively
23,7,4,7,5,5,serious
18,4,4,6,3,5,serious
19,2,4,5,5,6,serious
20,2,2,4,7,5,serious
17,3,7,3,3,7,extraverted
21,5,4,6,1,5,serious
18,5,4,6,2,1,responsible
19,2,5,4,6,3,responsible
22,3,6,6,1,6,serious
20,8,2,5,1,4,extraverted
25,4,6,6,3,6,dependable
24,5,6,3,3,8,serious
17,5,6,6,2,3,responsible
21,5,6,7,4,6,dependable
25,2,5,4,4,7,serious
23,5,7,1,3,6,extraverted
17,6,5,6,2,7,serious
19,5,5,5,4,3,serious
24,2,6,7,4,6,serious
24,4,5,5,6,2,lively
19,6,6,5,3,6,extraverted
28,4,7,6,2,5,serious
20,3,5,3,8,5,extraverted
21,4,4,5,6,4,serious
19,5,2,7,7,6,serious
24,6,4,5,2,6,serious
25,3,2,7,2,3,responsible
26,6,4,6,6,4,serious
21,7,5,5,1,5,dependable
19,5,5,4,2,7,serious
18,3,5,4,8,7,serious
20,4,5,5,2,4,responsible
19,1,4,6,7,5,serious
21,5,6,5,1,4,serious
21,3,4,6,4,7,serious
18,3,3,5,7,5,serious
19,5,1,1,5,5,serious
24,6,4,4,1,7,serious
23,3,6,5,5,6,serious
25,7,2,5,5,5,serious
23,3,3,3,5,4,responsible
19,4,6,5,4,4,extraverted
20,4,4,5,7,6,serious
21,5,4,2,5,8,serious
19,5,5,7,7,4,serious
18,5,7,7,4,5,extraverted
20,6,4,7,6,5,serious
23,7,5,4,6,6,serious
19,7,6,4,3,5,extraverted
26,5,6,5,7,3,extraverted
20,5,3,7,8,6,serious
18,6,2,7,6,4,lively
23,2,2,6,4,6,serious
21,4,3,4,5,6,serious
21,1,1,6,5,6,serious
17,6,3,5,6,4,serious
24,4,4,4,5,6,dependable
19,6,3,2,4,3,responsible
22,5,5,5,5,6,responsible
21,5,3,6,8,6,serious
20,6,2,5,6,7,serious
23,3,6,6,4,3,serious
19,5,4,4,5,5,serious
23,5,6,6,6,3,extraverted
18,5,5,8,6,5,serious
18,4,5,6,5,6,serious
24,6,5,5,6,3,extraverted
18,2,7,1,4,8,extraverted
23,6,6,1,2,2,extraverted
18,7,4,3,6,1,extraverted
19,5,5,4,6,4,dependable
19,4,7,4,6,8,serious
22,6,2,1,6,6,serious
19,5,6,2,5,5,extraverted
18,7,2,7,3,6,dependable
19,3,4,3,6,5,serious
20,6,1,1,7,6,serious
18,4,6,7,7,7,serious
22,6,1,5,6,4,lively
19,5,1,1,2,8,serious
25,5,5,6,6,5,extraverted
17,6,6,4,7,5,extraverted
19,4,1,5,7,5,serious
18,4,3,3,7,4,serious
17,5,1,5,7,6,serious
23,6,7,5,7,6,extraverted
20,6,2,5,8,1,lively
25,6,1,4,6,3,lively
20,4,1,2,7,5,responsible
21,7,4,5,7,7,serious
22,5,4,7,5,3,lively
19,7,2,1,6,5,serious
20,6,1,3,7,5,serious
19,5,5,3,7,6,responsible
19,4,1,6,6,4,responsible
19,5,5,5,4,6,serious
22,5,1,5,6,6,dependable
19,6,6,7,6,5,dependable
24,5,1,2,5,4,serious
19,6,6,6,4,4,serious
19,6,7,7,4,4,dependable
18,4,5,5,4,5,responsible
22,3,4,3,1,5,responsible
19,5,5,2,7,7,extraverted
18,7,2,5,5,5,serious
19,6,5,5,4,7,serious
22,5,3,6,6,5,serious
19,5,5,5,6,6,serious
19,6,1,7,3,7,serious
19,5,1,3,7,6,serious
25,5,3,2,7,7,dependable
19,6,4,3,5,4,extraverted
19,3,4,5,6,6,serious
18,6,3,6,7,5,serious
26,6,4,5,5,5,serious
22,4,4,1,7,6,serious
17,7,3,5,3,6,serious
20,6,1,6,4,4,lively
23,5,7,6,5,6,extraverted
19,5,6,5,4,4,extraverted
19,6,5,4,5,7,responsible
22,3,4,3,4,3,responsible
21,5,7,2,6,5,extraverted
18,3,5,7,3,6,serious
19,5,6,4,2,7,serious
19,3,5,3,3,2,responsible
20,5,6,5,6,1,extraverted
19,5,4,3,5,5,serious
23,4,3,2,6,6,dependable
20,3,4,7,6,6,serious
17,2,6,6,2,5,responsible
18,4,4,4,4,4,lively
21,6,6,5,6,5,extraverted
22,7,7,2,5,7,responsible
19,4,7,7,3,5,extraverted
25,3,3,5,4,5,serious
26,1,5,5,5,5,serious
27,1,5,2,7,6,serious
18,4,2,3,5,5,responsible
17,5,5,3,1,5,responsible
19,6,1,5,5,6,serious
19,6,3,3,6,5,serious
23,7,2,4,6,4,lively
22,7,3,4,4,5,serious
23,3,3,5,4,7,responsible
21,4,4,1,6,4,serious
17,7,1,4,5,4,lively
20,5,6,6,3,4,serious
20,6,5,4,4,5,extraverted
18,4,4,1,5,6,extraverted
24,4,4,4,6,3,extraverted
19,7,3,3,5,6,serious
18,4,3,6,6,3,serious
19,6,6,2,3,5,extraverted
23,6,6,6,3,3,extraverted
21,5,5,2,7,5,serious
21,6,4,6,6,5,serious
25,7,7,5,6,6,extraverted
18,3,6,7,4,3,lively
17,7,5,7,5,1,lively
20,3,4,6,6,5,serious
18,5,5,5,7,4,extraverted
24,5,6,7,4,5,serious
19,6,6,6,5,5,extraverted
18,3,5,4,4,2,responsible
18,5,4,6,7,4,dependable
21,6,4,7,5,5,serious
18,4,6,3,6,5,serious
17,5,4,5,8,1,lively
17,5,4,6,7,5,extraverted
21,5,5,7,6,4,serious
20,7,5,5,4,5,serious
18,6,3,6,6,6,serious
19,3,5,3,5,5,extraverted
23,6,6,6,4,6,responsible
18,8,3,6,7,6,serious
18,2,7,6,6,4,extraverted
20,6,6,1,5,5,responsible
24,6,7,3,1,5,extraverted
20,5,8,2,5,7,extraverted
18,7,7,8,4,2,lively
18,6,6,3,6,6,dependable
23,6,6,3,6,3,extraverted
18,7,7,7,5,6,dependable
21,7,6,6,6,5,serious
21,6,7,7,4,5,dependable
22,4,6,3,5,4,lively
18,5,7,5,4,5,extraverted
19,6,6,5,4,4,dependable
19,2,5,5,3,7,serious
23,5,4,6,4,5,serious
19,7,8,7,4,3,extraverted
19,1,6,7,8,7,serious
20,3,7,3,2,5,extraverted
18,5,6,7,5,4,responsible
21,6,7,7,6,5,serious
20,2,6,5,5,3,extraverted
17,3,7,6,3,7,serious
22,3,7,6,6,7,serious
19,6,6,3,5,7,serious
17,6,7,4,4,5,extraverted
20,3,7,7,5,6,serious
22,4,4,5,2,3,serious
19,6,8,1,3,6,extraverted
19,6,5,6,7,5,serious
21,4,5,7,7,5,serious
18,7,5,7,5,5,serious
26,2,5,3,6,6,serious
26,3,6,6,6,5,extraverted
24,5,4,5,7,8,serious
18,2,6,6,7,6,extraverted
20,5,6,2,2,3,extraverted
18,6,5,5,5,7,serious
19,1,5,4,7,6,serious
22,3,3,2,6,4,responsible
17,6,6,3,6,5,extraverted
21,2,3,7,8,5,serious
20,4,7,3,5,4,responsible
19,7,3,4,7,5,serious
17,6,6,2,5,6,extraverted
20,6,4,8,5,5,serious
18,1,4,2,5,5,lively
22,5,3,4,5,2,responsible
19,6,8,6,4,4,extraverted
18,5,1,6,6,3,lively
20,7,4,7,6,7,serious
19,6,2,3,5,4,responsible
5,5,5,5,5,5,responsible
21,7,1,7,8,5,lively
22,6,2,2,4,4,dependable
19,4,4,5,4,5,serious
20,5,5,3,4,3,serious
18,5,4,4,6,6,serious
19,4,3,1,7,5,serious
22,7,4,4,3,6,responsible
18,6,6,3,2,6,serious
18,5,8,5,5,4,extraverted
20,1,7,6,3,7,serious
22,5,5,4,5,3,lively
17,3,2,7,4,6,serious
18,6,6,8,2,1,responsible
19,6,2,7,1,4,responsible
21,5,6,3,5,4,serious
24,4,6,5,6,2,extraverted
21,1,6,7,4,6,serious
20,4,6,6,3,6,serious
19,4,2,6,2,3,responsible
19,7,7,4,4,5,extraverted
17,6,5,5,5,5,responsible
17,7,6,5,5,5,extraverted
22,7,5,7,2,3,lively
17,6,7,7,4,5,responsible
18,6,6,7,6,5,serious
19,6,5,5,6,4,extraverted
23,6,5,7,4,3,extraverted
20,7,7,2,7,6,extraverted
21,5,8,5,6,6,extraverted
20,5,6,4,6,7,extraverted
20,5,5,4,4,5,lively
19,4,6,6,4,5,serious
25,5,8,4,6,6,extraverted
25,7,4,3,8,5,extraverted
17,3,7,1,5,5,extraverted
18,5,5,6,6,4,extraverted
25,5,8,7,1,1,extraverted
22,6,5,5,7,5,extraverted
17,6,3,7,1,8,serious
18,5,6,6,4,4,serious
23,4,4,5,6,4,serious
24,4,7,7,3,6,serious
19,6,3,2,4,8,serious
19,4,5,6,5,5,serious
17,6,3,6,4,6,serious
20,1,2,5,8,4,serious
18,3,3,6,5,5,serious
22,4,4,7,5,6,serious
19,6,5,6,4,3,extraverted
18,2,5,8,3,7,dependable
18,7,5,6,2,7,serious
23,6,7,5,4,3,extraverted
18,5,7,3,5,6,extraverted
